crop,production1000tonnes,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,totalRainfall,totalAreaNew,irrigatedAreaNew,unirrigatedArea,soilCondition,log_production,log_area,log_nitrogen,log_phosphate,log_potash,log_irrigated_area,log_unirrigated_area
Maize,18.09,Chhattisgarh,91447,53486,16993,Durg,841.829998,10.25,2.473,7.777,0.0,2.895359299407204,2.327277705584417,11.42351484846955,10.887175216396335,9.740556773534106,0.9054319885392791,2.051170659712806
Maize,120.22,Chhattisgarh,21279,12584,4271,Bastar,884.62999,42.939999,11.145,31.794999,0.0,4.789323397611016,3.7598037691623256,9.965475949870196,9.440181444738114,8.359603270841466,2.410990966837832,3.4593090132678848
Maize,13.67,Chhattisgarh,92008,47721,15054,Raipur,667.999988,7.1300001,2.4630001,4.667,0.0,2.6152036507358583,1.96431124845145,11.429630808772417,10.77312683156647,9.619399015594476,0.9013801597392932,1.5405164669676785
Maize,15.83,Chhattisgarh,72926,29713,6915,Bilaspur,624.6899999999999,8.6100001,1.017999999,7.592000101000001,0.390813256,2.761906873892921,2.1529243300540415,11.197200507360451,10.299339939461232,8.841448244098858,0.017839917146012664,2.027095074611104
Maize,15.81,Chhattisgarh,31282,13620,3707,Raigarh,587.5699999999999,7.29,1.056000002,6.233999998,0.0,2.7606426512213806,1.986503546020567,10.350798131234187,9.519294579703503,8.217978203150732,0.054488187178009115,1.8300181810243241
Maize,123.33,Chhattisgarh,21139,11878,4438,Surguja,540.769989,49.400002,1.28,48.120002,0.0,4.814863689577897,3.899950464679706,9.958874954615686,9.382443228575806,8.39795910349254,0.2468600779315258,3.873697932669237
Maize,35.380001,Madhya Pradesh,62230,30800,2116,Jabalpur,796.930001,14.9,1.11,13.790000000000001,0.0,3.566146716996195,2.7013612129514133,11.038592477563263,10.335269968961667,7.65728279297819,0.10436001532424286,2.6239436918052106
Maize,29.370001,Madhya Pradesh,18299,10688,575,Balaghat,945.309988,11.04,1.0,10.04,0.0,3.3799737792588767,2.401525040848949,9.814601692527686,9.276876895776427,6.354370040797351,0.0,2.306577114263583
Maize,1326.45,Madhya Pradesh,57518,20108,6518,Chhindwara,929.4757500000001,264.5,1.0,263.5,0.0,7.190261479689854,5.577841251298354,10.959853221275816,9.908873024812467,8.782322859397507,0.0,5.574053367981417
Maize,8.8400002,Madhya Pradesh,21631,10429,2037,Narsinghpur,794.97,6.0,1.0,5.0,0.0,2.1792868992739862,1.791759469228055,9.981882749963502,9.252345666121213,7.619233416226805,0.0,1.6094379124341003
